iter	Passed	Remaining
0	153	22909
1	155	11478
2	156	7655
3	157	5744
4	158	4594
5	161	3874
6	162	3325
7	164	2912
8	165	2595
9	174	2436
10	176	2232
11	179	2064
12	181	1911
13	183	1777
14	184	1660
15	185	1557
16	187	1464
17	188	1382
18	190	1313
19	191	1247
20	193	1187
21	194	1132
22	196	1087
23	199	1046
24	201	1007
25	203	970
26	204	932
27	206	898
28	207	865
29	208	834
30	213	819
31	216	797
32	219	778
33	224	765
34	225	741
35	226	717
36	227	696
37	229	675
38	230	656
39	232	638
40	233	620
41	234	603
42	235	586
43	236	570
44	238	556
45	240	542
46	241	528
47	242	515
48	243	502
49	244	489
50	246	477
51	247	465
52	251	460
53	253	450
54	254	440
55	256	430
56	257	420
57	259	412
58	263	406
59	265	397
60	266	389
61	272	387
62	276	381
63	277	373
64	278	364
65	280	357
66	282	350
67	284	342
68	285	335
69	287	328
70	288	321
71	292	316
72	295	311
73	296	304
74	297	297
75	298	291
76	299	284
77	303	280
78	305	274
79	306	268
80	307	262
81	308	256
82	309	249
83	310	244
84	312	238
85	313	233
86	315	228
87	316	222
88	317	217
89	318	212
90	318	206
91	319	201
92	320	196
93	322	191
94	323	187
95	324	182
96	325	177
97	326	173
98	327	168
99	328	164
100	329	159
101	330	155
102	331	151
103	332	147
104	334	143
105	335	139
106	336	135
107	337	131
108	338	127
109	338	123
110	339	119
111	340	115
112	342	112
113	343	108
114	344	104
115	345	101
116	346	97
117	347	94
118	348	90
119	349	87
120	350	83
121	351	80
122	356	78
123	357	74
124	358	71
125	359	68
126	360	65
127	361	62
128	363	59
129	365	56
130	366	53
131	367	50
132	368	47
133	369	44
134	370	41
135	371	38
136	374	35
137	375	32
138	377	29
139	378	27
140	379	24
141	380	21
142	381	18
143	382	15
144	386	13
145	388	10
146	389	7
147	390	5
148	391	2
149	392	0
